[0.017s][info][gc] Using The Z Garbage Collector
[0.307s][info][gc] GC(0) Garbage Collection (Warmup) 220M(11%)->232M(11%)
[0.571s][info][gc] GC(1) Garbage Collection (System.gc()) 504M(25%)->164M(8%)
[0.665s][info][gc] GC(2) Garbage Collection (System.gc()) 276M(13%)->162M(8%)
[0.757s][info][gc] GC(3) Garbage Collection (System.gc()) 274M(13%)->162M(8%)
[0.852s][info][gc] GC(4) Garbage Collection (System.gc()) 274M(13%)->162M(8%)
[0.959s][info][gc] GC(5) Garbage Collection (System.gc()) 274M(13%)->162M(8%)
[1.192s][info][gc] GC(6) Garbage Collection (Warmup) 466M(23%)->296M(14%)
[1.284s][info][gc] GC(7) Garbage Collection (System.gc()) 392M(19%)->166M(8%)
[1.362s][info][gc] GC(8) Garbage Collection (System.gc()) 280M(14%)->166M(8%)
[1.456s][info][gc] GC(9) Garbage Collection (System.gc()) 282M(14%)->164M(8%)
[1.534s][info][gc] GC(10) Garbage Collection (System.gc()) 278M(14%)->164M(8%)
[1.627s][info][gc] GC(11) Garbage Collection (System.gc()) 280M(14%)->164M(8%)
[1.814s][info][gc] GC(12) Garbage Collection (System.gc()) 616M(30%)->166M(8%)
[1.876s][info][gc] GC(13) Garbage Collection (System.gc()) 282M(14%)->166M(8%)
[1.954s][info][gc] GC(14) Garbage Collection (System.gc()) 282M(14%)->166M(8%)
[2.016s][info][gc] GC(15) Garbage Collection (System.gc()) 282M(14%)->166M(8%)
[2.079s][info][gc] GC(16) Garbage Collection (System.gc()) 282M(14%)->166M(8%)
[2.203s][info][gc] GC(17) Garbage Collection (System.gc()) 628M(31%)->166M(8%)
[2.281s][info][gc] GC(18) Garbage Collection (System.gc()) 288M(14%)->166M(8%)
[2.343s][info][gc] GC(19) Garbage Collection (System.gc()) 288M(14%)->166M(8%)
[2.406s][info][gc] GC(20) Garbage Collection (System.gc()) 288M(14%)->166M(8%)
[2.469s][info][gc] GC(21) Garbage Collection (System.gc()) 288M(14%)->166M(8%)
[2.579s][info][gc] GC(22) Garbage Collection (System.gc()) 632M(31%)->168M(8%)
[2.642s][info][gc] GC(23) Garbage Collection (System.gc()) 296M(14%)->168M(8%)
[2.704s][info][gc] GC(24) Garbage Collection (System.gc()) 296M(14%)->166M(8%)
[2.766s][info][gc] GC(25) Garbage Collection (System.gc()) 292M(14%)->166M(8%)
[2.829s][info][gc] GC(26) Garbage Collection (System.gc()) 294M(14%)->166M(8%)
[2.922s][info][gc] GC(27) Garbage Collection (System.gc()) 652M(32%)->166M(8%)
[2.983s][info][gc] GC(28) Garbage Collection (System.gc()) 298M(15%)->166M(8%)
